Home Team,Away Team,Result,Home Team Goals Scored,Away Team Goals Scored,Home Team Possession %,Away Team Possession %,Winning Team Possession Difference %,Home Team Off Target Shots,Away Team Off Target Shots,Home Team On Target Shots,Away Team On Target Shots,Home Team Total Shots,Away Team Total Shots,Home Away Teamlocked Shots,Away Team Blocked Shots,Home Team Corners,Away Team Corners,Home Team Throw Ins,Away Team Throw Ins,Home Team Pass Success %,Away Team Pass Success %,Home Team Clearances,Away Team Clearances,Home Team Fouls,Away Team Fouls,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Second Yellow Cards,Away Team Second Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Goals Conceeded,Away Team Goals Conceeded,year,Half Time Score,Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Aerials Won,Away Team Aerials Won
0,1,Home Team Win,2,1,53,47,6,4,8,5,3,13,15,4,4,2,4,22,22,81,77,31,24,10,17,3,1,0,0,0,1,1,2,2016,44562,2-1,5.7,5.9,5.6,25,11
1,0,Away Team Win,0,1,55,45,-10,8,4,3,5,15,12,4,3,5,3,14,15,85,81,10,22,16,17,1,1,0,0,0,0,1,0,2016,0-0,0-1,3.9,4.7,7.9,12,12
2,2,Tie,1,1,37,63,,3,6,2,5,9,17,4,6,1,7,35,34,70,84,24,4,11,8,1,1,0,0,0,0,1,1,2016,0-0,1-1,4.4,6.5,6.6,11,16
1,0,Away Team Win,0,1,59,41,-18,6,7,4,2,13,10,3,1,9,1,36,17,73,67,7,31,12,13,1,2,0,0,0,0,1,0,2016,0-0,0-1,3.7,6.3,6.3,28,25
1,0,Away Team Win,1,3,28,72,44,3,6,1,8,7,21,3,7,2,9,20,13,77,92,25,14,12,5,1,2,0,0,0,0,3,1,2016,44562,1-3,7,5.2,8.2,10,11
0,1,Home Team Win,4,0,48,52,-4,3,6,8,3,15,12,4,3,4,5,28,34,68,69,27,15,16,12,2,4,0,0,0,0,0,4,2016,0-0,4-0,5.8,7.8,4.6,24,19
1,0,Away Team Win,0,2,62,38,-24,7,1,3,3,15,8,5,4,9,5,38,24,74,68,24,42,15,12,2,1,0,0,1,1,2,0,2016,0-0,0-2,4.7,4.4,7.8,15,24
0,1,Home Team Win,2,0,31,69,-38,7,7,6,4,14,12,1,1,8,3,14,29,63,84,28,35,17,19,2,3,0,1,1,1,0,2,2016,2-0,2-0,5.4,6.7,5.1,18,10
1,0,Away Team Win,1,2,52,48,-4,5,5,2,5,11,11,4,1,5,2,20,29,78,76,25,21,15,13,1,2,0,1,0,0,2,1,2016,0-2,1-2,5.7,5.6,6.9,22,12
1,0,Away Team Win,0,4,46,54,8,2,8,1,4,4,13,1,1,3,2,24,40,74,74,23,21,18,8,1,1,0,0,0,0,4,0,2016,0-2,0-4,4.4,4.7,8.2,38,14
0,1,Home Team Win,2,1,77,23,54,10,1,7,3,20,4,3,0,9,1,20,11,92,66,2,40,9,11,1,3,0,0,0,0,1,2,2016,0-0,2-1,6.5,7.4,5.6,13,12
0,1,Home Team Win,4,0,68,32,36,9,5,6,2,19,7,4,0,8,3,28,25,85,68,14,26,15,6,1,1,0,0,0,0,0,4,2016,2-0,4-0,4.8,7.4,4.9,17,16
0,1,Home Team Win,1,0,65,35,30,7,7,5,2,14,10,2,1,2,6,18,22,88,78,18,20,7,16,1,3,0,0,0,0,0,1,2016,1-0,1-0,3.4,6.9,6.2,17,10
2,2,Tie,1,1,56,44,,1,6,5,4,11,14,5,4,8,4,32,26,79,68,25,35,7,9,2,2,0,0,0,0,1,1,2016,0-1,1-1,5.5,7,5.7,14,27
2,2,Tie,0,0,47,53,,7,1,2,3,12,9,3,5,6,9,29,31,73,73,27,33,20,12,2,1,0,0,0,1,0,0,2016,0-0,0-0,2.5,5.8,6.4,29,29
0,1,Home Team Win,2,1,47,53,-6,8,6,3,5,13,12,2,1,3,1,35,27,74,78,19,32,14,11,1,3,0,1,0,0,1,2,2016,0-0,2-1,5.8,6.7,5.6,26,17
0,1,Home Team Win,2,0,57,43,14,7,5,5,1,20,6,8,0,4,4,21,27,84,79,18,18,18,6,2,1,0,0,0,0,0,2,2016,1-0,2-0,3.7,6.8,5.7,21,18
2,2,Tie,2,2,36,64,,2,8,2,3,6,13,2,2,3,7,26,27,61,78,20,15,7,9,3,1,0,0,1,0,2,2,2016,0-0,2-2,6.6,6,5.5,19,11
1,0,Away Team Win,0,3,44,56,12,8,3,4,5,14,8,2,0,3,2,16,15,88,91,17,27,8,7,0,1,0,0,0,0,3,0,2016,0-2,0-3,5.2,5.5,8.1,6,9
0,1,Home Team Win,2,1,36,64,-28,4,4,2,5,7,15,1,6,1,11,24,27,63,84,42,33,19,13,2,2,0,0,0,0,1,2,2016,44563,2-1,5.6,7.3,5.4,17,28
1,0,Away Team Win,0,3,52,48,-4,9,4,3,5,15,10,3,1,5,2,25,10,80,79,12,27,11,13,3,2,0,0,0,0,3,0,2016,0-2,0-3,4.6,4.8,6.9,19,24
0,1,Home Team Win,5,0,62,38,24,9,1,13,1,26,5,4,3,8,3,27,20,86,74,15,24,7,11,1,3,0,0,0,0,0,5,2016,3-0,5-0,6.5,9.5,3.8,9,17
0,1,Home Team Win,2,0,50,50,0,4,4,3,5,8,12,1,3,2,5,25,21,76,73,36,18,17,13,1,0,0,0,0,0,0,2,2016,1-0,2-0,3.9,6.3,6.3,15,21
1,0,Away Team Win,1,2,57,43,-14,6,8,4,5,16,14,6,1,4,3,33,33,77,66,21,39,14,14,1,2,0,0,1,0,2,1,2016,44562,1-2,6.2,5.6,6.8,25,33
0,1,Home Team Win,4,1,51,49,2,5,5,7,4,18,12,6,3,7,3,18,30,73,77,11,30,13,12,3,3,0,2,0,0,1,4,2016,2-0,4-1,6.4,6.6,4.1,13,17
0,1,Home Team Win,4,0,60,40,20,5,3,5,2,11,5,1,0,4,2,29,13,86,79,17,19,13,10,0,0,0,0,0,0,0,4,2016,2-0,4-0,4.9,7.7,5.1,11,7
0,1,Home Team Win,3,2,33,67,-34,4,6,7,3,15,11,4,2,8,7,26,26,65,84,44,27,14,9,1,1,0,0,0,0,2,3,2016,2-0,3-2,7.9,7.1,5.8,16,17
2,2,Tie,1,1,35,65,,5,11,3,4,8,16,1,1,3,8,19,27,70,84,35,14,14,10,2,0,0,0,0,0,1,1,2016,1-0,1-1,4,6.4,5.7,16,21
0,1,Home Team Win,2,0,59,41,18,4,4,5,1,11,8,2,3,3,5,34,30,82,68,18,20,11,1,1,0,0,0,0,0,0,2,2016,0-0,2-0,3.9,7.8,5.5,15,23
1,0,Away Team Win,0,1,53,47,-6,9,2,5,4,16,6,2,0,5,1,27,12,86,84,5,30,14,15,3,2,0,0,0,1,1,0,2016,0-1,0-1,3.6,5.7,5.7,7,12
0,1,Home Team Win,1,0,47,53,-6,4,6,5,1,14,9,5,2,7,3,18,30,79,80,35,32,9,8,0,1,0,0,0,0,0,1,2016,1-0,1-0,3,6.3,5.8,32,21
1,0,Away Team Win,0,1,48,52,4,9,2,3,3,16,7,4,2,3,3,22,33,75,77,20,29,12,8,1,1,0,0,0,1,1,0,2016,0-0,0-1,3.1,6.1,5.6,28,38
2,2,Tie,1,1,45,55,,7,2,1,4,10,9,2,3,4,8,26,25,74,78,24,31,9,20,1,4,0,0,0,0,1,1,2016,0-0,1-1,4.3,6.2,6.4,27,22
0,1,Home Team Win,2,1,62,38,24,7,3,4,4,16,7,5,0,4,5,23,31,85,70,25,18,6,13,1,1,0,1,0,0,1,2,2016,0-1,2-1,5.9,6.8,6.2,28,11
0,1,Home Team Win,4,2,64,36,28,13,4,13,3,32,8,6,1,9,2,27,21,87,76,15,27,10,14,1,4,0,0,0,0,2,4,2016,44562,4-2,9.8,8,4.6,20,19
2,2,Tie,0,0,77,23,,7,1,3,1,15,3,5,1,7,2,22,13,90,64,17,40,11,16,1,3,0,0,0,0,0,0,2016,0-0,0-0,2.5,6.9,6.1,18,15
0,1,Home Team Win,3,1,50,50,0,9,5,6,3,20,10,5,2,3,1,22,23,78,78,20,17,19,13,3,2,0,0,0,1,1,3,2016,44562,3-1,6,6.6,4.8,20,32
0,1,Home Team Win,2,1,55,45,10,5,7,4,1,12,11,3,3,1,3,16,22,90,86,12,14,10,10,2,1,0,0,0,0,1,2,2016,0-1,2-1,5.7,7.1,6.1,10,16
1,0,Away Team Win,1,2,56,44,-12,2,4,2,6,6,14,2,4,4,4,29,32,79,72,33,50,16,14,3,2,0,0,0,0,2,1,2016,0-1,1-2,5.5,5.4,6.2,18,27
1,0,Away Team Win,2,3,53,47,-6,4,4,2,9,7,14,1,1,3,3,30,26,82,77,19,13,14,12,5,2,1,0,1,0,3,2,2016,0-1,2-3,8.5,4.6,7.3,13,13
0,1,Home Team Win,1,0,44,56,-12,4,3,9,2,14,7,1,2,2,3,24,33,73,76,29,25,10,17,0,3,0,0,0,0,0,1,2016,1-0,1-0,3.2,6.8,5.4,14,12
